id;lease_contract_number;incremental_borrowing_rate;commencement_date;lease_prepayments;initial_direct_costs;demolition_costs;asset_account_number;liability_account_number;depreciation_account_number;interest_account_number
1;Investment Account orange;68641;2020-10-29;2547;87024;50256;Ergonomic Rubber Ball Programmable Fresh;Extended analyzer;Equatorial Guinea;compressing sky blue Regional
2;deposit;38879;2020-10-30;97266;47877;26256;silver service-desk Practical Cotton Shoes;Radial SMS Lodge;next generation;Reverse-engineered
3;SSL;92264;2020-10-30;22862;43387;25658;Latvia;Intelligent Associate function;Credit Card Account;Soft Rustic
4;Tactics Engineer Music;47893;2020-10-29;85760;69872;43971;Rapid synthesize bandwidth;Tasty circuit cross-platform;Tuna Awesome Metal Mouse program;product
5;e-commerce;15886;2020-10-29;38941;40422;73759;innovate;hacking payment;deliverables;Agent Reduced PNG
6;Dynamic focus group function;91905;2020-10-29;19035;14171;29198;withdrawal;circuit;Keyboard user-centric Maryland;Rustic
7;e-business;86462;2020-10-30;17750;2282;6834;FTP SMTP array;Wooden stable;Won Associate Cape Verde;Tala Cliff Buckinghamshire
8;THX quantify index;69400;2020-10-29;43507;30484;80608;Moldova application;Frozen Gloves;killer;Future exploit e-markets
9;Liaison Proactive;94341;2020-10-29;16012;61611;54497;orchid quantifying Costa Rica;Borders Unbranded;optical Accounts;Paradigm gold
10;District;32278;2020-10-29;12040;10356;37087;interface SMS SSL;Money Market Account;THX Home Loan Account;Buckinghamshire plum
